,freq,top_func,optional_func,source,new_info_source,events,gamification,importance
4550,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Telegram,Другое (Онлайн тренинги),"Да, немного интереснее",3
4551,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",4
4552,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Другое (Финансовые блоги),Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",3
4553,Несколько раз в месяц,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
4554,Несколько раз в неделю,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
4555,Несколько раз в неделю,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
4556,Несколько раз в месяц,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Другое (Онлайн тренинги),"Да, значительно интереснее",5
4557,Несколько раз в месяц,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
4558,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
4559,Несколько раз в месяц,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
4560,Ежедневно,Другое (Инвестиции и сбережения),Личный финансовый аналитик,Рекомендации друзей и знакомых,Telegram,Вебинары и семинары по финансовой грамотности,Другое (Безразлично),5
4561,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4562,Несколько раз в месяц,Проверка баланса,Личный финансовый аналитик,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",1
4563,Ежедневно,Другое (Курсы финансовой грамотности),Личный финансовый аналитик,Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,3
4564,Несколько раз в месяц,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",5
4565,Ежедневно,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Telegram,Финансовые челленджи и конкурсы,"Нет, это не влияет",4
4566,Ежедневно,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
4567,Ежедневно,Переводы и платежи,Финансовые игры и челленджи,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Нейтрально,4
4568,Ежедневно,Переводы и платежи,Другое (Финансовые журналы),Реклама в интернете,Социальные сети,Развлекательные мероприятия с участием банка,Нейтрально,4
4569,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",4
4570,Несколько раз в месяц,Проверка баланса,Вебинары и семинары по финансовой грамотности,Мероприятия и акции банка,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",3
4571,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Другое (Онлайн тренинги),"Нет, это отвлекает",5
4572,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,3
4573,Несколько раз в месяц,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
4574,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
4575,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",5
4576,Несколько раз в неделю,Другое (Финансовые советы и рекомендации),Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Другое,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
4577,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4578,Несколько раз в неделю,Участие в акциях и конкурсах,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
4579,Несколько раз в неделю,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Социальные сети,Другое (Онлайн тренинги),Нейтрально,5
4580,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Электронная почта,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",1
4581,Несколько раз в неделю,Проверка баланса,Финансовые игры и челленджи,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,Нейтрально,3
4582,Ежедневно,Проверка баланса,Другое (Финансовые журналы),Мероприятия и акции банка,Telegram,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",5
4583,Несколько раз в неделю,Другое (Курсы финансовой грамотности),Личный финансовый аналитик,Социальные сети,Социальные сети,Другое (Онлайн тренинги),"Нет, это не влияет",5
4584,Ежедневно,Проверка баланса,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Нейтрально,3
4585,Несколько раз в неделю,Другое (Инвестиции и сбережения),Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Электронная почта,Другое (Онлайн тренинги),"Да, значительно интереснее",5
4586,Ежедневно,Участие в акциях и конкурсах,Личный финансовый аналитик,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
4587,Не использую,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
4588,Очень редко,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,Нейтрально,5
4589,Очень редко,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",5
4590,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4591,Несколько раз в месяц,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Электронная почта,Развлекательные мероприятия с участием банка,"Да, немного интереснее",1
4592,Ежедневно,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",3
4593,Ежедневно,Другое (Проверка кредитного рейтинга),Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
4594,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Электронная почта,Спортивные мероприятия,Нейтрально,5
4595,Несколько раз в месяц,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Нейтрально,4
4596,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Электронная почта,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
4597,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Реклама в интернете,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",4
4598,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Реклама в интернете,Уведомления в мобильном приложении,Спортивные мероприятия,"Да, значительно интереснее",3
4599,Несколько раз в месяц,Участие в акциях и конкурсах,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
4600,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",5
4601,Несколько раз в неделю,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
4602,Ежедневно,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,Другое (Безразлично),5
4603,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Спортивные мероприятия,"Да, значительно интереснее",5
4604,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",4
4605,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Личный финансовый аналитик,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, немного интереснее",3
4606,Несколько раз в месяц,Финансовые консультации,Личный финансовый аналитик,Мероприятия и акции банка,Другое,Другое (Онлайн тренинги),"Да, немного интереснее",3
4607,Ежедневно,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",4
4608,Несколько раз в неделю,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Рекомендации друзей и знакомых,Социальные сети,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
4609,Очень редко,Другое (Курсы финансовой грамотности),Финансовые игры и челленджи,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
4610,Несколько раз в месяц,Другое (Финансовые советы и рекомендации),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Спортивные мероприятия,Нейтрально,4
4611,Несколько раз в неделю,Переводы и платежи,Другое (Финансовые журналы),Социальные сети,Социальные сети,Встречи с финансовыми экспертами,"Да, значительно интереснее",5
4612,Несколько раз в неделю,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
4613,Несколько раз в неделю,Проверка баланса,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Социальные сети,Спортивные мероприятия,"Да, немного интереснее",5
4614,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
4615,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, значительно интереснее",5
4616,Ежедневно,Другое (Проверка кредитного рейтинга),Финансовые игры и челленджи,Реклама в интернете,Другое,Встречи с финансовыми экспертами,"Да, немного интереснее",5
4617,Несколько раз в неделю,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Нет, это отвлекает",3
4618,Ежедневно,"Оформление продуктов (карты, кредиты)",Дополнительные бонусы и скидки от партнеров,Мероприятия и акции банка,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, значительно интереснее",5
4619,Несколько раз в месяц,Участие в акциях и конкурсах,Финансовые игры и челленджи,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Нет, это отвлекает",4
4620,Ежедневно,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,5
4621,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Финансовые челленджи и конкурсы,Нейтрально,4
4622,Ежедневно,Другое (Проверка кредитного рейтинга),Дополнительные бонусы и скидки от партнеров,Социальные сети,Электронная почта,Другое (Онлайн тренинги),"Да, немного интереснее",5
4623,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",3
4624,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
4625,Несколько раз в неделю,Проверка баланса,Вебинары и семинары по финансовой грамотности,Реклама в интернете,Уведомления в мобильном приложении,Другое (Онлайн тренинги),Нейтрально,3
4626,Несколько раз в месяц,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4627,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,Нейтрально,4
4628,Несколько раз в неделю,Переводы и платежи,Дополнительные бонусы и скидки от партнеров,Другое (Финансовые блоги),Уведомления в мобильном приложении,Спортивные мероприятия,"Да, немного интереснее",5
4629,Ежедневно,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Нет, это не влияет",3
4630,Несколько раз в месяц,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",1
4631,Ежедневно,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Другое (Финансовые блоги),Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
4632,Несколько раз в месяц,Переводы и платежи,Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",1
4633,Несколько раз в неделю,Переводы и платежи,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Социальные сети,Встречи с финансовыми экспертами,Другое (Безразлично),4
4634,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Другое,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4635,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Другое (Финансовые блоги),Электронная почта,Финансовые челленджи и конкурсы,Нейтрально,3
4636,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Мероприятия и акции банка,Telegram,Другое (Онлайн тренинги),Нейтрально,5
4637,Несколько раз в неделю,Другое (Проверка кредитного рейтинга),Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4638,Несколько раз в неделю,Проверка баланса,Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
4639,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Реклама в интернете,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",5
4640,Несколько раз в месяц,Другое (Курсы финансовой грамотности),Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,3
4641,Несколько раз в неделю,Финансовые консультации,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Уведомления в мобильном приложении,Другое (Онлайн тренинги),Нейтрально,3
4642,Ежедневно,Финансовые консультации,Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",3
4643,Ежедневно,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",4
4644,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Социальные сети,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,"Да, значительно интереснее",4
4645,Несколько раз в неделю,Переводы и платежи,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
4646,Ежедневно,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это не влияет",3
4647,Несколько раз в месяц,Другое (Инвестиции и сбережения),Вебинары и семинары по финансовой грамотности,Реклама в интернете,Другое,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4648,Несколько раз в месяц,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Финансовые челленджи и конкурсы,Нейтрально,1
4649,Не использую,Проверка баланса,Личный финансовый аналитик,Мероприятия и акции банка,Telegram,Финансовые челленджи и конкурсы,"Да, немного интереснее",4
4650,Ежедневно,Проверка баланса,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4651,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Другое,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
4652,Несколько раз в неделю,Проверка баланса,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Другое,Спортивные мероприятия,"Нет, это не влияет",3
4653,Ежедневно,Другое (Инвестиции и сбережения),Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Вебинары и семинары по финансовой грамотности,"Да, немного интереснее",5
4654,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",4
4655,Несколько раз в месяц,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,Нейтрально,5
4656,Несколько раз в неделю,Другое (Инвестиции и сбережения),Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
4657,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Нет, это не влияет",3
4658,Ежедневно,Другое (Инвестиции и сбережения),Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Социальные сети,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
4659,Несколько раз в месяц,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, немного интереснее",5
4660,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,"Нет, это отвлекает",4
4661,Несколько раз в месяц,Переводы и платежи,Финансовые игры и челленджи,Реклама в интернете,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Да, значительно интереснее",3
4662,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Реклама в интернете,Telegram,Другое (Онлайн тренинги),"Да, значительно интереснее",5
4663,Несколько раз в месяц,Другое (Инвестиции и сбережения),Финансовые игры и челленджи,Другое (Финансовые блоги),Telegram,Встречи с финансовыми экспертами,"Нет, это не влияет",3
4664,Несколько раз в неделю,Переводы и платежи,Личный финансовый аналитик,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Нет, это не влияет",3
4665,Несколько раз в неделю,Переводы и платежи,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Развлекательные мероприятия с участием банка,Нейтрально,5
4666,Ежедневно,Участие в акциях и конкурсах,Дополнительные бонусы и скидки от партнеров,Социальные сети,Другое,Развлекательные мероприятия с участием банка,Нейтрально,5
4667,Ежедневно,Финансовые консультации,Расширенные отчеты по расходам и доходам,Социальные сети,Другое,Развлекательные мероприятия с участием банка,Нейтрально,4
4668,Несколько раз в месяц,Финансовые консультации,Вебинары и семинары по финансовой грамотности,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
4669,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Социальные сети,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",5
4670,Ежедневно,Проверка баланса,Финансовые игры и челленджи,Социальные сети,Другое,Встречи с финансовыми экспертами,Другое (Безразлично),4
4671,Ежедневно,Проверка баланса,Личный финансовый аналитик,Социальные сети,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",3
4672,Ежедневно,Переводы и платежи,Расширенные отчеты по расходам и доходам,Другое (Финансовые блоги),Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",5
4673,Несколько раз в месяц,Проверка баланса,Расширенные отчеты по расходам и доходам,Мероприятия и акции банка,Электронная почта,Развлекательные мероприятия с участием банка,Другое (Безразлично),1
4674,Несколько раз в неделю,Участие в акциях и конкурсах,Вебинары и семинары по финансовой грамотности,Мероприятия и акции банка,Telegram,Встречи с финансовыми экспертами,"Да, немного интереснее",5
4675,Ежедневно,Другое (Курсы финансовой грамотности),Расширенные отчеты по расходам и доходам,Социальные сети,Уведомления в мобильном приложении,Другое (Онлайн тренинги),Нейтрально,3
4676,Ежедневно,Проверка баланса,Вебинары и семинары по финансовой грамотности,Рекомендации друзей и знакомых,Электронная почта,Финансовые челленджи и конкурсы,"Нет, это не влияет",4
4677,Несколько раз в месяц,Проверка баланса,Личный финансовый аналитик,Реклама в интернете,Telegram,Развлекательные мероприятия с участием банка,"Нет, это отвлекает",4
4678,Несколько раз в месяц,Финансовые консультации,Личный финансовый аналитик,Реклама в интернете,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,"Нет, это отвлекает",5
4679,Несколько раз в неделю,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Социальные сети,Telegram,Развлекательные мероприятия с участием банка,"Да, значительно интереснее",4
4680,Несколько раз в месяц,"Оформление продуктов (карты, кредиты)",Финансовые игры и челленджи,Социальные сети,Уведомления в мобильном приложении,Встречи с финансовыми экспертами,Другое (Безразлично),2
4681,Ежедневно,Финансовые консультации,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Telegram,Другое (Онлайн тренинги),"Да, немного интереснее",3
4682,Ежедневно,Проверка баланса,Дополнительные бонусы и скидки от партнеров,Рекомендации друзей и знакомых,Уведомления в мобильном приложении,Вебинары и семинары по финансовой грамотности,"Нет, это не влияет",4
4683,Ежедневно,Другое (Финансовые советы и рекомендации),Финансовые игры и челленджи,Реклама в интернете,Telegram,Встречи с финансовыми экспертами,"Нет, это не влияет",3
